日期,时间,经度方向,经度,纬度方向,纬度,海拔,速率,航向,卫星数量
2017年5月10日,9时39分39秒,E,11141.540,N,4048.051,1068米,22.22公里／小时,航向:339.6,09颗
2017年5月10日,9时39分40秒,E,11141.538,N,4048.054,1067米,25.93公里／小时,航向:338.2,09颗
2017年5月10日,9时39分41秒,E,11141.535,N,4048.058,1067米,29.63公里／小时,航向:337.5,08颗
2017年5月10日,9时39分42秒,E,11141.533,N,4048.063,1067米,31.48公里／小时,航向:338.0,09颗
2017年5月10日,9时39分44秒,E,11141.529,N,4048.072,1067米,27.78公里／小时,航向:339.2,09颗
2017年5月10日,9时39分45秒,E,11141.527,N,4048.076,1067米,29.63公里／小时,航向:341.1,09颗
2017年5月10日,9时39分46秒,E,11141.526,N,4048.081,1068米,31.48公里／小时,航向:343.0,09颗
2017年5月10日,9时39分46秒,E,11141.526,N,4048.081,1068米,31.48公里／小时,航向:343.0,09颗
2017年5月10日,9时39分48秒,E,11141.523,N,4048.092,1068米,35.19公里／小时,航向:345.9,08颗
2017年5月10日,9时39分48秒,E,11141.523,N,4048.092,1069米,35.19公里／小时,航向:345.9,08颗
2017年5月10日,9时39分50秒,E,11141.519,N,4048.103,1069米,37.04公里／小时,航向:346.0,08颗
2017年5月10日,9时39分50秒,E,11141.519,N,4048.103,1070米,37.04公里／小时,航向:346.0,09颗
2017年5月10日,9时39分51秒,E,11141.516,N,4048.108,1070米,37.04公里／小时,航向:345.7,09颗
2017年5月10日,9时39分52秒,E,11141.513,N,4048.113,1070米,38.89公里／小时,航向:345.4,09颗
2017年5月10日,9时39分53秒,E,11141.510,N,4048.119,1070米,38.89公里／小时,航向:344.6,09颗
2017年5月10日,9时39分55秒,E,11141.505,N,4048.131,1070米,38.89公里／小时,航向:342.0,09颗
2017年5月10日,9时39分55秒,E,11141.505,N,4048.131,1069米,38.89公里／小时,航向:342.0,09颗
2017年5月10日,9时39分56秒,E,11141.502,N,4048.137,1069米,40.74公里／小时,航向:341.1,09颗
2017年5月10日,9时39分57秒,E,11141.499,N,4048.142,1070米,38.89公里／小时,航向:340.5,10颗
2017年5月10日,9时39分58秒,E,11141.496,N,4048.148,1070米,37.04公里／小时,航向:340.5,10颗
2017年5月10日,9时39分59秒,E,11141.494,N,4048.153,1070米,35.19公里／小时,航向:341.6,10颗
2017年5月10日,9时40分0秒,E,11141.492,N,4048.158,1070米,33.34公里／小时,航向:343.0,10颗
2017年5月10日,9时40分2秒,E,11141.488,N,4048.168,1070米,33.34公里／小时,航向:343.7,10颗
2017年5月10日,9时40分2秒,E,11141.488,N,4048.168,1069米,33.34公里／小时,航向:343.7,10颗
2017年5月10日,9时40分4秒,E,11141.483,N,4048.178,1069米,33.34公里／小时,航向:341.3,10颗
2017年5月10日,9时40分4秒,E,11141.483,N,4048.178,1070米,33.34公里／小时,航向:341.3,10颗
2017年5月10日,9时40分5秒,E,11141.481,N,4048.183,1069米,33.34公里／小时,航向:340.1,10颗
2017年5月10日,9时40分6秒,E,11141.478,N,4048.189,1069米,33.34公里／小时,航向:340.0,10颗
2017年5月10日,9时40分7秒,E,11141.476,N,4048.193,1069米,33.34公里／小时,航向:340.2,10颗
2017年5月10日,9时40分8秒,E,11141.473,N,4048.198,1069米,31.48公里／小时,航向:340.5,10颗
2017年5月10日,9时40分9秒,E,11141.471,N,4048.203,1070米,31.48公里／小时,航向:341.2,10颗
2017年5月10日,9时40分10秒,E,11141.469,N,4048.207,1070米,31.48公里／小时,航向:341.3,10颗
2017年5月10日,9时40分11秒,E,11141.466,N,4048.212,1070米,31.48公里／小时,航向:341.1,10颗
2017年5月10日,9时40分12秒,E,11141.464,N,4048.216,1070米,29.63公里／小时,航向:341.3,10颗
2017年5月10日,9时40分13秒,E,11141.462,N,4048.221,1070米,29.63公里／小时,航向:342.1,10颗
2017年5月10日,9时40分14秒,E,11141.460,N,4048.225,1070米,31.48公里／小时,航向:342.3,10颗
2017年5月10日,9时40分16秒,E,11141.455,N,4048.235,1071米,35.19公里／小时,航向:340.2,10颗
2017年5月10日,9时40分16秒,E,11141.455,N,4048.235,1070米,35.19公里／小时,航向:340.2,10颗
2017年5月10日,9时40分17秒,E,11141.452,N,4048.240,1071米,37.04公里／小时,航向:339.4,10颗
2017年5月10日,9时40分19秒,E,11141.447,N,4048.250,1071米,33.34公里／小时,航向:339.5,10颗
2017年5月10日,9时40分19秒,E,11141.447,N,4048.250,1071米,33.34公里／小时,航向:339.5,10颗
2017年5月10日,9时40分20秒,E,11141.445,N,4048.255,1071米,29.63公里／小时,航向:340.6,10颗
2017年5月10日,9时40分22秒,E,11141.441,N,4048.262,1071米,24.08公里／小时,航向:340.4,10颗
2017年5月10日,9时40分22秒,E,11141.441,N,4048.262,1071米,24.08公里／小时,航向:340.4,10颗
2017年5月10日,9时40分23秒,E,11141.439,N,4048.265,1071米,20.37公里／小时,航向:339.8,10颗
2017年5月10日,9时40分24秒,E,11141.438,N,4048.268,1071米,16.67公里／小时,航向:339.6,10颗
2017年5月10日,9时40分25秒,E,11141.438,N,4048.270,1071米,9.26公里／小时,航向:340.3,10颗
2017年5月10日,9时40分26秒,E,11141.438,N,4048.272,1070米,3.70公里／小时,航向:340.6,10颗
2017年5月10日,9时40分28秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分29秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分29秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分30秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分31秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分32秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分34秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分34秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分35秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分36秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分37秒,E,11141.436,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分38秒,E,11141.436,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分39秒,E,11141.436,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分40秒,E,11141.436,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分41秒,E,11141.436,N,4048.273,1070米,3.70公里／小时,航向:340.9,10颗
2017年5月10日,9时40分42秒,E,11141.435,N,4048.273,1070米,5.56公里／小时,航向:239.1,10颗
2017年5月10日,9时40分43秒,E,11141.434,N,4048.272,1069米,7.41公里／小时,航向:203.6,10颗
2017年5月10日,9时40分44秒,E,11141.433,N,4048.270,1069米,9.26公里／小时,航向:178.3,10颗
2017年5月10日,9时40分45秒,E,11141.434,N,4048.268,1068米,14.82公里／小时,航向:156.6,10颗
2017年5月10日,9时40分46秒,E,11141.436,N,4048.266,1068米,16.67公里／小时,航向:153.1,10颗
2017年5月10日,9时40分47秒,E,11141.437,N,4048.263,1067米,18.52公里／小时,航向:155.3,10颗
2017年5月10日,9时40分48秒,E,11141.439,N,4048.260,1066米,20.37公里／小时,航向:156.6,10颗
2017年5月10日,9时40分49秒,E,11141.440,N,4048.257,1065米,22.22公里／小时,航向:158.3,10颗
2017年5月10日,9时40分50秒,E,11141.442,N,4048.254,1065米,24.08公里／小时,航向:160.0,09颗
2017年5月10日,9时40分51秒,E,11141.444,N,4048.250,1064米,24.08公里／小时,航向:160.3,09颗
2017年5月10日,9时40分52秒,E,11141.445,N,4048.247,1064米,24.08公里／小时,航向:161.5,09颗
2017年5月10日,9时40分53秒,E,11141.447,N,4048.243,1063米,25.93公里／小时,航向:162.6,10颗
2017年5月10日,9时40分54秒,E,11141.448,N,4048.240,1062米,25.93公里／小时,航向:163.2,09颗
2017年5月10日,9时40分55秒,E,11141.450,N,4048.236,1062米,25.93公里／小时,航向:163.4,09颗
2017年5月10日,9时40分56秒,E,11141.451,N,4048.232,1061米,24.08公里／小时,航向:163.6,09颗
2017年5月10日,9时40分57秒,E,11141.452,N,4048.229,1060米,22.22公里／小时,航向:164.2,10颗
2017年5月10日,9时40分58秒,E,11141.453,N,4048.226,1060米,20.37公里／小时,航向:164.5,10颗
2017年5月10日,9时40分59秒,E,11141.454,N,4048.223,1059米,14.82公里／小时,航向:165.1,10颗
2017年5月10日,9时41分0秒,E,11141.454,N,4048.220,1058米,11.11公里／小时,航向:166.8,10颗
2017年5月10日,9时41分1秒,E,11141.454,N,4048.219,1058米,7.41公里／小时,航向:175.7,10颗
2017年5月10日,9时41分2秒,E,11141.454,N,4048.218,1058米,5.56公里／小时,航向:186.3,10颗
2017年5月10日,9时41分3秒,E,11141.454,N,4048.217,1057米,5.56公里／小时,航向:201.9,10颗
2017年5月10日,9时41分4秒,E,11141.453,N,4048.216,1057米,5.56公里／小时,航向:220.2,10颗
2017年5月10日,9时41分5秒,E,11141.452,N,4048.215,1056米,5.56公里／小时,航向:219.9,10颗
2017年5月10日,9时41分6秒,E,11141.451,N,4048.214,1056米,5.56公里／小时,航向:221.4,10颗
2017年5月10日,9时41分7秒,E,11141.450,N,4048.214,1055米,7.41公里／小时,航向:224.2,10颗
2017年5月10日,9时41分8秒,E,11141.449,N,4048.213,1055米,7.41公里／小时,航向:226.4,10颗
2017年5月10日,9时41分9秒,E,11141.447,N,4048.213,1055米,7.41公里／小时,航向:228.9,10颗
2017年5月10日,9时41分10秒,E,11141.445,N,4048.212,1054米,7.41公里／小时,航向:256.4,10颗
2017年5月10日,9时41分11秒,E,11141.444,N,4048.212,1054米,7.41公里／小时,航向:255.0,10颗
2017年5月10日,9时41分12秒,E,11141.442,N,4048.211,1054米,5.56公里／小时,航向:254.4,10颗
2017年5月10日,9时41分13秒,E,11141.442,N,4048.211,1053米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分15秒,E,11141.441,N,4048.211,1054米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分15秒,E,11141.441,N,4048.211,1054米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分16秒,E,11141.441,N,4048.211,1054米,0.00公里／小时,航向:254.3,10颗
2017年5月10日,9时41分17秒,E,11141.441,N,4048.211,1054米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分18秒,E,11141.441,N,4048.211,1054米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分19秒,E,11141.441,N,4048.211,1054米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分20秒,E,11141.440,N,4048.210,1054米,0.00公里／小时,航向:254.4,10颗
2017年5月10日,9时41分21秒,E,11141.438,N,4048.211,1054米,14.82公里／小时,航向:281.9,10颗
2017年5月10日,9时41分23秒,E,11141.430,N,4048.212,1053米,18.52公里／小时,航向:281.8,10颗
2017年5月10日,9时41分24秒,E,11141.425,N,4048.212,1053米,18.52公里／小时,航向:271.1,09颗
2017年5月10日,9时41分24秒,E,11141.425,N,4048.212,1053米,18.52公里／小时,航向:271.1,10颗
2017年5月10日,9时41分25秒,E,11141.421,N,4048.212,1053米,18.52公里／小时,航向:256.0,10颗
2017年5月10日,9时41分26秒,E,11141.417,N,4048.211,1053米,16.67公里／小时,航向:243.6,10颗
2017年5月10日,9时41分27秒,E,11141.414,N,4048.210,1052米,14.82公里／小时,航向:232.4,10颗
2017年5月10日,9时41分28秒,E,11141.412,N,4048.208,1052米,12.96公里／小时,航向:222.3,10颗
2017年5月10日,9时41分29秒,E,11141.410,N,4048.207,1052米,11.11公里／小时,航向:210.5,10颗
2017年5月10日,9时41分30秒,E,11141.409,N,4048.205,1053米,11.11公里／小时,航向:196.5,10颗
2017年5月10日,9时41分31秒,E,11141.408,N,4048.203,1053米,9.26公里／小时,航向:176.7,10颗
2017年5月10日,9时41分32秒,E,11141.409,N,4048.201,1052米,11.11公里／小时,航向:170.5,10颗
2017年5月10日,9时41分33秒,E,11141.409,N,4048.199,1052米,12.96公里／小时,航向:168.3,10颗
2017年5月10日,9时41分34秒,E,11141.410,N,4048.197,1052米,16.67公里／小时,航向:168.0,10颗
2017年5月10日,9时41分35秒,E,11141.411,N,4048.195,1051米,18.52公里／小时,航向:167.2,10颗
2017年5月10日,9时41分36秒,E,11141.412,N,4048.192,1051米,18.52公里／小时,航向:164.9,10颗
2017年5月10日,9时41分37秒,E,11141.413,N,4048.189,1051米,18.52公里／小时,航向:162.1,10颗
2017年5月10日,9时41分38秒,E,11141.414,N,4048.186,1051米,18.52公里／小时,航向:163.2,10颗
2017年5月10日,9时41分40秒,E,11141.417,N,4048.180,1051米,20.37公里／小时,航向:161.8,10颗
2017年5月10日,9时41分40秒,E,11141.417,N,4048.180,1050米,20.37公里／小时,航向:161.8,10颗
2017年5月10日,9时41分41秒,E,11141.418,N,4048.177,1050米,22.22公里／小时,航向:160.1,10颗
2017年5月10日,9时41分42秒,E,11141.420,N,4048.173,1049米,22.22公里／小时,航向:158.8,10颗
2017年5月10日,9时41分44秒,E,11141.423,N,4048.166,1049米,24.08公里／小时,航向:158.5,10颗
2017年5月10日,9时41分44秒,E,11141.423,N,4048.166,1049米,24.08公里／小时,航向:158.5,10颗
2017年5月10日,9时41分45秒,E,11141.425,N,4048.163,1048米,24.08公里／小时,航向:158.6,10颗
2017年5月10日,9时41分47秒,E,11141.427,N,4048.156,1048米,22.22公里／小时,航向:166.9,10颗
2017年5月10日,9时41分48秒,E,11141.429,N,4048.152,1047米,24.08公里／小时,航向:163.4,10颗
2017年5月10日,9时41分48秒,E,11141.429,N,4048.152,1047米,24.08公里／小时,航向:163.4,10颗
2017年5月10日,9时41分49秒,E,11141.430,N,4048.149,1046米,24.08公里／小时,航向:162.8,10颗
2017年5月10日,9时41分50秒,E,11141.432,N,4048.145,1046米,24.08公里／小时,航向:162.1,10颗
2017年5月10日,9时41分51秒,E,11141.433,N,4048.142,1046米,25.93公里／小时,航向:160.9,10颗
2017年5月10日,9时41分52秒,E,11141.435,N,4048.138,1046米,25.93公里／小时,航向:160.1,10颗
2017年5月10日,9时41分53秒,E,11141.437,N,4048.134,1045米,24.08公里／小时,航向:160.2,10颗
2017年5月10日,9时41分54秒,E,11141.438,N,4048.130,1045米,24.08公里／小时,航向:167.0,10颗
2017年5月10日,9时41分55秒,E,11141.440,N,4048.126,1045米,22.22公里／小时,航向:166.2,10颗
2017年5月10日,9时41分56秒,E,11141.442,N,4048.123,1045米,22.22公里／小时,航向:164.3,10颗
2017年5月10日,9时41分57秒,E,11141.443,N,4048.120,1044米,22.22公里／小时,航向:164.9,10颗
2017年5月10日,9时41分58秒,E,11141.444,N,4048.117,1044米,20.37公里／小时,航向:163.9,10颗
2017年5月10日,9时41分59秒,E,11141.446,N,4048.114,1044米,20.37公里／小时,航向:162.8,10颗
2017年5月10日,9时42分0秒,E,11141.447,N,4048.111,1043米,20.37公里／小时,航向:162.7,10颗
2017年5月10日,9时42分1秒,E,11141.448,N,4048.108,1043米,20.37公里／小时,航向:162.0,10颗
2017年5月10日,9时42分2秒,E,11141.450,N,4048.105,1043米,20.37公里／小时,航向:161.3,10颗
2017年5月10日,9时42分3秒,E,11141.451,N,4048.102,1042米,20.37公里／小时,航向:160.7,09颗
2017年5月10日,9时42分4秒,E,11141.452,N,4048.098,1042米,20.37公里／小时,航向:161.0,10颗
2017年5月10日,9时42分5秒,E,11141.453,N,4048.096,1042米,18.52公里／小时,航向:171.4,10颗
2017年5月10日,9时42分6秒,E,11141.453,N,4048.093,1042米,16.67公里／小时,航向:187.2,10颗
2017年5月10日,9时42分7秒,E,11141.452,N,4048.091,1041米,16.67公里／小时,航向:199.6,10颗
2017年5月10日,9时42分8秒,E,11141.451,N,4048.088,1041米,14.82公里／小时,航向:215.7,10颗
2017年5月10日,9时42分9秒,E,11141.449,N,4048.087,1041米,12.96公里／小时,航向:229.1,10颗
2017年5月10日,9时42分10秒,E,11141.446,N,4048.086,1041米,14.82公里／小时,航向:243.3,10颗
2017年5月10日,9时42分11秒,E,11141.443,N,4048.085,1042米,16.67公里／小时,航向:245.2,10颗
2017年5月10日,9时42分13秒,E,11141.436,N,4048.083,1042米,14.82公里／小时,航向:253.7,10颗
2017年5月10日,9时42分14秒,E,11141.433,N,4048.082,1042米,14.82公里／小时,航向:252.7,10颗
2017年5月10日,9时42分14秒,E,11141.433,N,4048.082,1041米,14.82公里／小时,航向:252.7,10颗
2017年5月10日,9时42分15秒,E,11141.431,N,4048.081,1041米,12.96公里／小时,航向:252.0,10颗
2017年5月10日,9时42分16秒,E,11141.428,N,4048.081,1041米,12.96公里／小时,航向:248.9,10颗
2017年5月10日,9时42分18秒,E,11141.423,N,4048.079,1041米,12.96公里／小时,航向:250.0,10颗
2017年5月10日,9时42分18秒,E,11141.423,N,4048.079,1041米,12.96公里／小时,航向:250.0,10颗
2017年5月10日,9时42分20秒,E,11141.419,N,4048.078,1041米,9.26公里／小时,航向:251.7,10颗
2017年5月10日,9时42分20秒,E,11141.419,N,4048.078,1042米,9.26公里／小时,航向:251.7,10颗
2017年5月10日,9时42分21秒,E,11141.417,N,4048.077,1042米,5.56公里／小时,航向:251.9,10颗
2017年5月10日,9时42分23秒,E,11141.414,N,4048.076,1042米,7.41公里／小时,航向:258.6,10颗
2017年5月10日,9时42分23秒,E,11141.414,N,4048.076,1042米,7.41公里／小时,航向:258.6,10颗
2017年5月10日,9时42分24秒,E,11141.413,N,4048.076,1042米,5.56公里／小时,航向:256.9,10颗
2017年5月10日,9时42分26秒,E,11141.411,N,4048.075,1042米,5.56公里／小时,航向:253.5,10颗
2017年5月10日,9时42分26秒,E,11141.411,N,4048.075,1043米,5.56公里／小时,航向:253.5,10颗
2017年5月10日,9时42分28秒,E,11141.408,N,4048.075,1043米,5.56公里／小时,航向:249.8,10颗
2017年5月10日,9时42分28秒,E,11141.408,N,4048.075,1044米,5.56公里／小时,航向:249.8,10颗
2017年5月10日,9时42分30秒,E,11141.404,N,4048.074,1044米,5.56公里／小时,航向:250.6,10颗
2017年5月10日,9时42分31秒,E,11141.402,N,4048.074,1044米,5.56公里／小时,航向:252.0,10颗
2017年5月10日,9时42分32秒,E,11141.401,N,4048.075,1045米,5.56公里／小时,航向:255.6,10颗
2017年5月10日,9时42分32秒,E,11141.401,N,4048.075,1045米,5.56公里／小时,航向:255.6,10颗
2017年5月10日,9时42分33秒,E,11141.400,N,4048.076,1046米,7.41公里／小时,航向:260.9,10颗
2017年5月10日,9时42分35秒,E,11141.400,N,4048.078,1046米,3.70公里／小时,航向:354.6,10颗
2017年5月10日,9时42分35秒,E,11141.400,N,4048.078,1047米,3.70公里／小时,航向:354.6,10颗
2017年5月10日,9时42分37秒,E,11141.401,N,4048.079,1047米,3.70公里／小时,航向:354.6,10颗
2017年5月10日,9时42分37秒,E,11141.401,N,4048.079,1047米,3.70公里／小时,航向:354.6,10颗
2017年5月10日,9时42分39秒,E,11141.402,N,4048.080,1048米,3.70公里／小时,航向:354.6,10颗
2017年5月10日,9时42分39秒,E,11141.402,N,4048.080,1048米,3.70公里／小时,航向:354.6,10颗
2017年5月10日,9时42分40秒,E,11141.403,N,4048.080,1048米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分41秒,E,11141.403,N,4048.080,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分42秒,E,11141.404,N,4048.080,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分44秒,E,11141.405,N,4048.080,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分44秒,E,11141.405,N,4048.080,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分45秒,E,11141.405,N,4048.081,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分47秒,E,11141.407,N,4048.081,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分47秒,E,11141.407,N,4048.081,1049米,1.85公里／小时,航向:354.6,10颗
2017年5月10日,9时42分49秒,E,11141.407,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分50秒,E,11141.407,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分50秒,E,11141.407,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分52秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分53秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分53秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分55秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分56秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分56秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分58秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时42分58秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,10颗
2017年5月10日,9时43分0秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分0秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分2秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分3秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分3秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分5秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分5秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分6秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分7秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分9秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分10秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
2017年5月10日,9时43分10秒,E,11141.408,N,4048.081,1050米,0.00公里／小时,航向:354.6,09颗
